id,role,skills,location,years_experience,languages
C01,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;gestión de repuestos;confiabilidad","Cartagena",3,"inglés"
C02,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento predictivo;gestión de activos","Cartagena",2,""
C03,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;mantenimiento predictivo;gestión de repuestos;gestión de activos;confiabilidad","Cartagena",5,"inglés"
C04,"ingeniero de mantenimiento","mantenimiento preventivo;gestión de activos","Barranquilla",2,"inglés"
C05,"ingeniero de mantenimiento","mantenimiento correctivo;gestión de repuestos","Cartagena",1,"inglés"
C06,"ingeniero de mantenimiento","mantenimiento predictivo;gestión de activos;confiabilidad","Cartagena",4,""
C07,"ingeniero de sistemas","python;sql;devops","Cartagena",3,"inglés"
C08,"técnico de mantenimiento","mantenimiento preventivo;electricidad;mecánica","Cartagena",2,""
C09,"ingeniero de mantenimiento","mantenimiento preventivo;gestión de repuestos;confiabilidad","Bogotá",6,"inglés"
C10,"analista de datos","python;power bi;sql","Cartagena",2,"inglés"
C11,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;hidráulica;neumática;mecánica industrial;electricidad industrial;automatización;PLC;gestión de activos;confiabilidad;análisis de fallas;gestión de repuestos;SAP PM","Cartagena",7,"inglés"
C12,"ingeniero de mantenimiento","mantenimiento preventivo;hidráulica;neumática;mecánica industrial;electricidad industrial;gestión de activos;confiabilidad;gestión de repuestos","Cartagena",4,"inglés"
C13,"ingeniero de mantenimiento","mantenimiento correctivo;hidráulica;neumática;mecánica industrial;electricidad industrial;automatización;PLC;análisis de fallas;gestión de repuestos","Barranquilla",5,"inglés"
C14,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento predictivo;confiabilidad;análisis de fallas;gestión de activos;SAP PM","Bogotá",6,"inglés"
